,area,buildtime,room_num,hall_num,floor,dire,exemption of business tax,exemption of double tax,quality education,distance,loc
273,32.0,2000,2.0,2.0,2.0,1.0,0.0,1.0,1.0,5000,83.0
274,79.22,2013,2.0,2.0,3.0,2.0,0.0,1.0,0.0,5000,33.0
275,145.02,2006,3.0,2.0,1.0,2.0,0.0,1.0,1.0,274,84.0
276,69.96,2015,2.0,1.0,3.0,1.0,0.0,1.0,0.0,5000,23.0
277,47.6,1998,1.0,1.0,1.0,1.0,0.0,0.0,1.0,750,21.0
278,59.2,2014,1.0,1.0,3.0,1.0,1.0,0.0,1.0,5000,33.0
279,82.0,2015,2.0,2.0,2.0,2.0,0.0,1.0,1.0,316,85.0
280,65.0,1995,2.0,1.0,2.0,1.0,0.0,1.0,1.0,5000,45.0
281,89.68,2001,2.0,2.0,1.0,1.0,0.0,1.0,1.0,879,52.0
282,75.0,2010,2.0,2.0,2.0,2.0,0.0,1.0,1.0,5000,39.0
283,117.0,2012,3.0,2.0,2.0,2.0,0.0,1.0,0.0,447,23.0
284,123.46,2009,3.0,2.0,1.0,2.0,0.0,1.0,0.0,5000,52.0
285,142.0,2009,4.0,2.0,1.0,2.0,0.0,1.0,0.0,1156,30.0
286,93.0,2010,3.0,2.0,2.0,2.0,0.0,1.0,0.0,5000,81.0
287,75.1,1998,2.0,1.0,3.0,1.0,0.0,1.0,0.0,980,40.0
288,69.2,1996,2.0,1.0,3.0,2.0,0.0,1.0,1.0,1003,74.0
289,235.0,2002,3.0,2.0,3.0,7.0,1.0,0.0,0.0,995,25.0
290,73.6,1996,2.0,1.0,2.0,1.0,0.0,1.0,0.0,5000,10.0
291,89.6,2009,2.0,2.0,1.0,2.0,0.0,1.0,1.0,5000,12.0
292,79.0,2012,2.0,2.0,3.0,2.0,0.0,1.0,1.0,5000,18.0
293,74.0,2006,2.0,2.0,3.0,2.0,0.0,1.0,1.0,918,54.0
294,41.04,1994,1.0,1.0,1.0,1.0,1.0,0.0,0.0,349,42.0
